MAKE,MODEL,PRICE,YEAR,KILOMETER,FUEL TYPE,TRANSMISSION,COLOR,OWNER,SELLER TYPE,ENGINE CAPACITY ,MAX POWER,MAX TORQUE,DRIVETRAIN,LENGTH,WIDTH,HEIGHT,SEATING CAPACITY,FUEL TANK CAPACITY
Honda,Amaze 1.2 VX i-VTEC,12625,2017,87150,Petrol,Manual,Grey,First,Corporate,1198,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3990,1680,1505,5,35
Maruti Suzuki,Swift DZire VDI,11250,2014,75000,Diesel,Manual,White,Second,Individual,1248,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995,1695,1555,5,42
Hyundai,i10 Magna 1.2 Kappa2,5500,2011,67000,Petrol,Manual,Maroon,First,Individual,1197,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
Toyota,Glanza G,19975,2019,37500,Petrol,Manual,Red,First,Individual,1197,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3995,1745,1510,5,37
Toyota,Innova 2.4 VX 7 STR [2016-2020],48750,2018,69000,Diesel,Manual,Grey,First,Individual,2393,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,4735,1830,1795,7,55
Maruti Suzuki,Ciaz ZXi,16875,2017,73315,Petrol,Manual,Grey,First,Individual,1373,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,4490,1730,1485,5,43
Mercedes-Benz,CLA 200 Petrol Sport,47475,2015,47000,Petrol,Automatic,White,Second,Individual,1991,181 bhp @ 5500 rpm,300 Nm @ 1200 rpm,FWD,4630,1777,1432,5,
BMW,X1 xDrive20d M Sport,66250,2017,75000,Diesel,Automatic,White,Second,Individual,1995,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD,4439,1821,1612,5,51
Skoda,Octavia 1.8 TSI Style Plus AT [2017],34750,2017,56000,Petrol,Automatic,White,First,Individual,1798,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,4670,1814,1476,5,50
Nissan,Terrano XL (D),14375,2015,85000,Diesel,Manual,White,First,Individual,1461,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD,4331,1822,1671,5,50
Hyundai,Elite i20 Sportz 1.2,14775,2017,20281,Petrol,Manual,Red,First,Individual,1197,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
Renault,Kwid 1.0 RXT [2016-2019],11500,2018,22541,Petrol,Manual,Grey,First,Individual,999,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3679,1579,1478,5,28
Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],26875,2019,30672,Petrol,Automatic,Blue,First,Individual,1462,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,4490,1730,1485,5,43
Tata,Harrier XZ [2019-2020],42375,2019,20856,Diesel,Manual,Orange,First,Individual,1956,138 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4598,1894,1706,5,50
Volkswagen,Polo GT TSI,23625,2017,41417,Petrol,Automatic,Grey,First,Individual,1197,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD,3971,1682,1469,5,45
Maruti Suzuki,Celerio ZXi AMT [2019-2020],14225,2016,11471,Petrol,Automatic,Red,First,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3695,1600,1560,5,35
Maruti Suzuki,Alto 800 LXi (O),11225,2019,3583,Petrol,Manual,Grey,First,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3445,1515,1475,5,35
Maruti Suzuki,Baleno Alpha Automatic,22375,2018,21365,Petrol,Automatic,Grey,First,Individual,1197,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3995,1745,1510,5,37
Maruti Suzuki,Wagon R ZXi 1.2 AMT,17475,2020,30777,Petrol,Automatic,White,First,Individual,1197,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3655,1620,1675,5,32
Hyundai,Creta 1.6 E Petrol,18500,2016,60125,Petrol,Manual,Silver,First,Individual,1591,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270,1780,1630,5,60
Maruti Suzuki,S-Presso VXi AMT,11750,2020,2169,Petrol,Automatic,Grey,First,Individual,998,67 bhp @ 5500 rpm,90 Nm @ 3500 rpm,FWD,3565,1520,1564,5,27
Volkswagen,Vento Comfortline Petrol AT,19125,2015,60240,Petrol,Automatic,Brown,First,Individual,1197,103 bhp @ 5000 rpm,153 Nm @ 3800 rpm,FWD,4384,1699,1466,5,55
Hyundai,Santro Sportz AMT [2018-2020],14725,2018,13772,Petrol,Automatic,White,First,Individual,1086,68 bhp @ 5500 rpm,99 Nm @ 4500 rpm,FWD,3610,1645,1560,5,35
Hyundai,Venue SX 1.0 (O) Petrol [2019-2020],24975,2019,27464,Petrol,Manual,Blue,First,Individual,998,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,3995,1770,1605,5,45
Maruti Suzuki,Alto LXi CNG,9250,2019,47377,CNG,Manual,Grey,First,Individual,998,58 bhp @ 6000 rpm,78 Nm @ 3500 rpm,FWD,3545,1490,1475,4,60
Maruti Suzuki,Ritz Zxi BS-IV,8125,2013,23086,Petrol,Manual,Grey,First,Individual,1197,85 bhp @ 6000 rpm,113 Nm @ 4500 rpm,FWD,3775,1680,1620,5,43
Hyundai,Creta 1.6 SX Plus Petrol,29375,2019,36313,Petrol,Manual,Grey,First,Individual,1591,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270,1780,1630,5,60
Honda,Brio V MT,8775,2014,39276,Petrol,Manual,Red,First,Individual,1198,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3610,1680,1500,5,35
Hyundai,Elite i20 Asta 1.2,13775,2015,47752,Petrol,Manual,White,First,Individual,1197,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
Honda,WR-V VX MT Petrol,20500,2018,27963,Petrol,Manual,White,First,Individual,1199,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3999,1734,1601,5,40
Hyundai,Venue SX 1.0 Turbo iMT,24750,2020,24013,Petrol,Manual,Blue,First,Individual,998,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,3995,1770,1605,5,45
Hyundai,Creta 1.6 SX Plus AT,23125,2016,66000,Diesel,Automatic,Black,First,Individual,1582,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270,1780,1630,5,60
Ford,Ecosport Titanium+ 1.0L EcoBoost,13375,2015,28000,Petrol,Manual,Silver,First,Individual,999,124 bhp @ 6000 rpm,170 Nm @ 1400 rpm,FWD,3999,1765,1708,5,52
Honda,CR-V 2.4 AT,21500,2013,67000,Petrol,Automatic,Brown,First,Individual,,,,,,,,,
Hyundai,Santro GL (CNG),3625,2009,72000,CNG,Manual,Silver,Second,Individual,1086,62 bhp @ 5500 rpm,96 Nm @ 3000 rpm,FWD,3565,1525,1590,5,35
Tata,Tiago Revotron XE [2016-2019],10225,2018,27069,Petrol,Manual,White,First,Individual,1199,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD,3746,1647,1535,5,35
Tata,Tigor Revotorq XT,12250,2018,43000,Diesel,Manual,White,First,Individual,1047,69 bhp @ 4000 rpm,140 Nm @ 1800 rpm,FWD,3992,1677,1537,5,35
Toyota,Innova 2.4 G 8 STR [2016-2017],47500,2019,71000,Diesel,Manual,Bronze,First,Individual,2393,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,4735,1830,1795,8,55
Mercedes-Benz,GLC 220 d Progressive,96250,2017,45600,Diesel,Automatic,Black,Second,Individual,2143,168 bhp @ 3000 rpm,400 Nm @ 1400 rpm,AWD,4656,1890,1639,5,66
Hyundai,Creta SX 1.6 CRDi (O),28125,2018,60000,Diesel,Manual,White,First,Individual,1582,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,4270,1780,1665,5,55
Mercedes-Benz,M-Class ML 250 CDI,57500,2014,105101,Diesel,Automatic,White,First,Individual,2143,203 bhp @ 4200 rpm,500 Nm @ 1600 rpm,AWD,4804,2141,1796,5,70
Toyota,Corolla Altis VL AT Petrol,27375,2016,45000,Petrol,Automatic,Black,First,Individual,1798,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD,4620,1775,1475,5,55
Audi,A4 2.0 TDI (177bhp) Premium Plus,39375,2013,66000,Diesel,Automatic,White,First,Individual,1968,177 bhp @ 4200 rpm,380 Nm @ 1750 rpm,FWD,4701,1826,1427,5,63
Mercedes-Benz,SLK-Class SLK 200 K,60000,2010,34105,Petrol,Automatic,Grey,First,Individual,1796,165@5500,240@3000,RWD,4082,1777,1297,2,70
Hyundai,Elite i20 Asta 1.2,13125,2015,68397,Petrol,Manual,Gold,First,Individual,1197,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
Mahindra,Thar CRDe 4x4 AC,15625,2015,65000,Diesel,Manual,White,Second,Individual,2498,105 bhp @ 3800 rpm,247 Nm @ 1800 rpm,AWD,3920,1726,1930,6,60
Maruti Suzuki,Baleno Delta 1.2,15125,2019,27469,Petrol,Manual,Silver,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1745,1500,5,37
